,matched_longitude,matched_latitude
353,174.773539,-36.852472
354,174.773539,-36.852472
355,174.773539,-36.852472
356,174.773539,-36.852472
357,174.773539,-36.852472
358,174.773539,-36.852472
359,174.773539,-36.852472
360,174.773539,-36.852472
361,174.773539,-36.852472
362,174.773539,-36.852472
363,174.773539,-36.852472
364,174.773539,-36.852472
365,174.773539,-36.852472
366,174.773539,-36.852472
367,174.773539,-36.852472
368,174.773539,-36.852472
369,174.773539,-36.852472
370,174.773539,-36.852472
371,174.773539,-36.852472
372,174.773539,-36.852472
373,174.773539,-36.852472
374,174.773539,-36.852472
375,174.773539,-36.852472
376,174.773539,-36.852472
377,174.773539,-36.852472
378,174.773539,-36.852472
379,174.773539,-36.852472
380,174.773539,-36.852472
381,174.773539,-36.852472
382,174.773539,-36.852472
383,174.773539,-36.852472
384,174.773539,-36.852472
385,174.773539,-36.852472
386,174.773539,-36.852472
387,174.773539,-36.852472
388,174.773539,-36.852472
389,174.773539,-36.852472
390,174.773539,-36.852472
391,174.773539,-36.852472
392,174.773539,-36.852472
393,174.773539,-36.852472
394,174.773539,-36.852472
395,174.773607,-36.8525
396,174.773632,-36.852481
397,174.773649,-36.852461
398,174.773672,-36.852436
399,174.773695,-36.852411
400,174.773715,-36.852389
401,174.77373,-36.852374
402,174.773739,-36.852364
403,174.773744,-36.852358
404,174.773741,-36.85226
405,174.77373,-36.852254
406,174.77372,-36.852249
407,174.773717,-36.852247
408,174.773717,-36.852247
409,174.773717,-36.852247
410,174.773718,-36.852243
411,174.77372,-36.852237
412,174.773721,-36.852231
413,174.773724,-36.85222
414,174.773727,-36.85221
415,174.77373,-36.852193
416,174.77373,-36.852185
417,174.773731,-36.852175
418,174.773731,-36.852165
419,174.773732,-36.852157
420,174.773733,-36.852149
421,174.773733,-36.852142
422,174.773733,-36.852135
423,174.773734,-36.852128
424,174.773734,-36.852125
425,174.773735,-36.852118
426,174.773735,-36.852112
427,174.773735,-36.85211
428,174.773736,-36.852103
429,174.773736,-36.852097
430,174.773704,-36.852072
431,174.773701,-36.852069
432,174.773698,-36.852067
433,174.773693,-36.852063
434,174.773686,-36.852057
435,174.773679,-36.852052
436,174.773672,-36.852046
437,174.773668,-36.852038
438,174.773665,-36.852032
439,174.77365,-36.852002
440,174.773657,-36.851971
441,174.773665,-36.851935
442,174.773671,-36.851907
443,174.773678,-36.851876
444,174.773685,-36.851841
445,174.773693,-36.851805
446,174.773701,-36.851768
447,174.773708,-36.851735
448,174.773719,-36.851686
449,174.77373,-36.851641
450,174.773741,-36.851595
451,174.773753,-36.851541
452,174.773765,-36.851491
453,174.773776,-36.851443
454,174.773788,-36.851393
455,174.773799,-36.851348
456,174.773811,-36.851296
457,174.773823,-36.851245
458,174.773836,-36.85119
459,174.773848,-36.851136
460,174.773859,-36.85108
461,174.77387,-36.851029
462,174.773881,-36.850977
463,174.773894,-36.850918
464,174.773906,-36.850861
465,174.773926,-36.850803
466,174.773947,-36.850751
467,174.773976,-36.8507
468,174.774004,-36.850655
469,174.774033,-36.850609
470,174.774064,-36.850565
471,174.774103,-36.850522
472,174.774147,-36.850487
473,174.774182,-36.850461
474,174.774212,-36.850438
475,174.774237,-36.850419
476,174.774264,-36.850399
477,174.774298,-36.850376
478,174.774314,-36.85036
479,174.77434,-36.850333
480,174.774366,-36.850297
481,174.774382,-36.850259
482,174.774396,-36.850223
483,174.774405,-36.850163
484,174.774368,-36.850134
485,174.774375,-36.850093
486,174.774382,-36.850054
487,174.774388,-36.850013
488,174.774393,-36.849976
489,174.774397,-36.849933
490,174.774399,-36.849898
491,174.774402,-36.849858
492,174.774405,-36.849819
493,174.774408,-36.849783
494,174.774411,-36.84975
495,174.774413,-36.849708
496,174.774415,-36.849673
497,174.774416,-36.849643
498,174.774416,-36.849604
499,174.774415,-36.849561
500,174.774413,-36.849523
501,174.774412,-36.849492
502,174.77441,-36.849436
503,174.774407,-36.849384
504,174.774405,-36.84934
505,174.774403,-36.8493
506,174.774398,-36.849253
507,174.774393,-36.849207
508,174.774388,-36.849159
509,174.774382,-36.849111
510,174.774376,-36.849062
511,174.774366,-36.849017
512,174.774356,-36.848968
513,174.774346,-36.848923
514,174.774413,-36.848908
515,174.774436,-36.848866
516,174.77446,-36.848823
517,174.774481,-36.848787
518,174.774504,-36.84875
519,174.774526,-36.848714
520,174.774535,-36.848605
521,174.77452,-36.848565
522,174.774508,-36.848532
523,174.774495,-36.848497
524,174.774483,-36.848464
525,174.774471,-36.848433
526,174.774458,-36.848396
527,174.774444,-36.848359
528,174.774424,-36.848316
529,174.774401,-36.84827
530,174.77438,-36.848228
531,174.77436,-36.848188
532,174.774341,-36.848148
533,174.774325,-36.848112
534,174.774302,-36.848067
535,174.774281,-36.848032
536,174.774259,-36.847992
537,174.774238,-36.847957
538,174.77422,-36.847926
539,174.774204,-36.847899
540,174.774186,-36.847869
541,174.774169,-36.847841
542,174.774151,-36.847811
543,174.774131,-36.847783
544,174.774113,-36.847757
545,174.774086,-36.847719
546,174.774066,-36.84769
547,174.774043,-36.847657
548,174.774018,-36.847623
549,174.773996,-36.847592
550,174.77394,-36.847505
551,174.773954,-36.847474
552,174.773973,-36.847432
553,174.774057,-36.847378
554,174.774102,-36.847349
555,174.774132,-36.847338
556,174.774166,-36.847325
557,174.774192,-36.847315
558,174.774218,-36.847305
559,174.774253,-36.847291
560,174.774286,-36.847276
561,174.774318,-36.847261
562,174.77435,-36.847244
563,174.774386,-36.847222
564,174.774436,-36.847177
565,174.774411,-36.847119
566,174.774435,-36.847095
567,174.774454,-36.847074
568,174.774472,-36.847052
569,174.774487,-36.847033
570,174.774506,-36.847008
571,174.774522,-36.846987
572,174.774534,-36.84697
573,174.774554,-36.846948
574,174.774562,-36.846939
575,174.77459,-36.846912
576,174.774605,-36.846899
577,174.774626,-36.846882
578,174.774652,-36.846863
579,174.774661,-36.846857
580,174.774671,-36.84685
581,174.774674,-36.846848
582,174.774673,-36.846849
583,174.774681,-36.846843
584,174.774683,-36.846842
585,174.774686,-36.84684
586,174.774703,-36.846829
587,174.774718,-36.846819
588,174.774761,-36.846796
589,174.774785,-36.846785
590,174.774809,-36.846774
591,174.774831,-36.846764
592,174.774845,-36.846759
593,174.774886,-36.846746
594,174.774897,-36.846743
595,174.7749,-36.846742
596,174.774901,-36.846742
597,174.774898,-36.846714
598,174.774889,-36.846692
599,174.774881,-36.846672
600,174.774872,-36.846653
601,174.774863,-36.846627
602,174.774854,-36.846597
603,174.774851,-36.84656
604,174.774856,-36.846528
605,174.774863,-36.846504
606,174.774875,-36.846474
607,174.774886,-36.846448
608,174.774894,-36.846429
609,174.774904,-36.846405
610,174.774912,-36.846384
611,174.774924,-36.846356
612,174.774947,-36.846299
613,174.774972,-36.846239
614,174.774988,-36.846199
615,174.775003,-36.846163
616,174.775015,-36.846135
617,174.775025,-36.84611
618,174.775034,-36.846087
619,174.775044,-36.846065
620,174.775048,-36.846048
621,174.775051,-36.846037
622,174.775057,-36.846015
623,174.77506,-36.846003
624,174.775062,-36.845993
625,174.775064,-36.845986
626,174.775064,-36.845985
627,174.775067,-36.845973
628,174.775069,-36.845966
629,174.77507,-36.845962
630,174.77507,-36.845962
631,174.77507,-36.845963
632,174.77507,-36.845963
633,174.77507,-36.845962
634,174.77507,-36.845963
635,174.77507,-36.845963
636,174.77507,-36.845963
637,174.77507,-36.845963
638,174.77507,-36.845963
639,174.775069,-36.845964
640,174.77507,-36.845963
641,174.77507,-36.845961
642,174.77507,-36.84596
643,174.77507,-36.84596
644,174.77507,-36.845959
645,174.775071,-36.845959
646,174.775071,-36.845958
647,174.775071,-36.845957
648,174.775071,-36.845956
649,174.775072,-36.845954
650,174.775072,-36.845953
651,174.775073,-36.845951
652,174.775073,-36.84595
653,174.775073,-36.845949
654,174.775073,-36.845949
655,174.775074,-36.845945
656,174.775074,-36.845945
657,174.775076,-36.845925
658,174.775076,-36.845925
659,174.775076,-36.845925
660,174.775076,-36.845925
661,174.775076,-36.845925
662,174.775076,-36.845925
663,174.775076,-36.845925
664,174.775076,-36.845925
665,174.775076,-36.845925
666,174.775076,-36.845925
667,174.775076,-36.845925
668,174.775076,-36.845925
669,174.775076,-36.845925
670,174.775076,-36.845925
671,174.775076,-36.845925
672,174.775076,-36.845925
673,174.775076,-36.845925
674,174.775076,-36.845925
675,174.775076,-36.845925
676,174.775076,-36.845925
677,174.775076,-36.845925
678,174.775076,-36.845925
679,174.775076,-36.845925
680,174.775076,-36.845924
681,174.775076,-36.845923
682,174.775076,-36.845922
683,174.775076,-36.845922
684,174.775076,-36.845921
685,174.775076,-36.845921
686,174.775076,-36.84592
687,174.775076,-36.84592
688,174.775076,-36.84592
689,174.775076,-36.84592
690,174.775076,-36.845919
691,174.775077,-36.845917
692,174.775077,-36.845915
693,174.775077,-36.845914
694,174.775077,-36.845913
695,174.775077,-36.845911
696,174.775077,-36.845911
697,174.775077,-36.845911
698,174.775077,-36.84591
699,174.775077,-36.845908
700,174.775077,-36.845907
701,174.775077,-36.845907
702,174.775077,-36.845905
703,174.775077,-36.845903
704,174.775078,-36.845902
705,174.775078,-36.845901
706,174.775078,-36.8459
707,174.775078,-36.8459
708,174.775078,-36.8459
709,174.775078,-36.8459
710,174.775078,-36.8459
711,174.775078,-36.845899
712,174.775077,-36.845891
713,174.775071,-36.845873
714,174.775066,-36.845855
715,174.775144,-36.845849
716,174.775147,-36.845851
717,174.775149,-36.845852
718,174.775155,-36.845855
719,174.77517,-36.845864
720,174.775174,-36.845866
721,174.775191,-36.845876
722,174.775216,-36.84589
723,174.775239,-36.845903
724,174.77527,-36.84592
725,174.775314,-36.845942
726,174.775351,-36.84596
727,174.775391,-36.84598
728,174.775431,-36.846
729,174.775474,-36.846021
730,174.775521,-36.846044
731,174.775581,-36.84607
732,174.775627,-36.846087
733,174.775671,-36.846104
734,174.775717,-36.84612
735,174.775764,-36.846138
736,174.775813,-36.846155
737,174.775856,-36.846168
738,174.775899,-36.846181
739,174.775949,-36.846196
740,174.775995,-36.846209
741,174.776039,-36.846221
742,174.776086,-36.846235
743,174.776133,-36.846248
744,174.776178,-36.846261
745,174.77622,-36.846273
746,174.77627,-36.846287
747,174.776319,-36.846299
748,174.77637,-36.846313
749,174.776412,-36.846324
750,174.776464,-36.846337
751,174.776496,-36.846345
752,174.776535,-36.846356
753,174.776593,-36.846371
754,174.776646,-36.846385
