,original_longitude,original_latitude
301,174.773558,-36.8524873
302,174.7735631,-36.8524909
303,174.773574,-36.8524849
304,174.7735748,-36.852485
305,174.773575,-36.8524851
306,174.773575,-36.8524851
307,174.7735748,-36.852485
308,174.7735747,-36.852485
309,174.7735744,-36.8524848
310,174.7735748,-36.8524855
311,174.7735752,-36.8524858
312,174.7735755,-36.8524866
313,174.7735756,-36.8524864
314,174.7735756,-36.8524868
315,174.7735755,-36.8524867
316,174.7735756,-36.8524867
317,174.7735755,-36.8524867
318,174.7735783,-36.8524877
319,174.773595,-36.8524962
320,174.7736193,-36.8525024
321,174.7736345,-36.8525014
322,174.7736428,-36.8524998
323,174.7736444,-36.8524975
324,174.7736428,-36.8524996
325,174.7736411,-36.852501
326,174.7736439,-36.8524959
327,174.7736446,-36.852494
328,174.7736458,-36.8524923
329,174.7736468,-36.8524899
330,174.7736475,-36.8524885
331,174.7736486,-36.8524873
332,174.7736493,-36.852486
333,174.7736503,-36.8524851
334,174.7736513,-36.8524843
335,174.7736517,-36.852484
336,174.7736517,-36.8524846
337,174.7736512,-36.8524852
338,174.7736503,-36.8524852
339,174.7736482,-36.8524865
340,174.773628,-36.8524916
341,174.7736143,-36.8524988
342,174.7736107,-36.8525017
343,174.7736031,-36.8525068
344,174.7736008,-36.8525088
345,174.7736015,-36.8525118
346,174.7736038,-36.8525153
347,174.7736054,-36.8525196
348,174.7736044,-36.8525233
349,174.7735992,-36.8525257
350,174.7735981,-36.8525302
351,174.7736012,-36.8525316
352,174.7736108,-36.8525253
353,174.7736075,-36.8525286
354,174.7736106,-36.8525288
355,174.7736057,-36.8525367
356,174.7736049,-36.8525369
357,174.7736046,-36.852536
358,174.7736048,-36.8525351
359,174.773603,-36.8525346
360,174.7736019,-36.8525351
361,174.7736025,-36.8525355
362,174.773602,-36.8525355
363,174.7736024,-36.852536
364,174.7736035,-36.8525358
365,174.7736041,-36.8525353
366,174.7736047,-36.8525361
367,174.7736045,-36.8525377
368,174.7736055,-36.8525386
369,174.7736071,-36.8525396
370,174.7736085,-36.85254
371,174.7736089,-36.8525385
372,174.7736104,-36.8525382
373,174.7736107,-36.852538
374,174.7736112,-36.8525381
375,174.7736111,-36.8525379
376,174.7736115,-36.8525371
377,174.7736118,-36.8525359
378,174.77361,-36.8525288
379,174.7736093,-36.8525281
380,174.7736088,-36.8525283
381,174.7736086,-36.852529
382,174.7736085,-36.8525292
383,174.7736079,-36.8525291
384,174.7736078,-36.8525295
385,174.7736079,-36.8525299
386,174.773609,-36.8525302
387,174.7736095,-36.8525292
388,174.7736093,-36.8525293
389,174.7736095,-36.8525295
390,174.7736089,-36.8525301
391,174.7736083,-36.8525303
392,174.7736091,-36.8525302
393,174.7736098,-36.8525298
394,174.773603,-36.8525186
395,174.7736113,-36.852494
396,174.7736242,-36.8524766
